id,poj_unicode,hanji,poj_bunim_unicode,comment,hanlo_comment,tailo,page_number,new_comment
,Ho̍k,袱,,"pau-saⁿ ê pò͘, ho̍k, pau-ho̍k.","包衫 ê 布, 袱, 包袱.",Hok8,213,
,Ho̍k,茯,,"io̍h-miâ; ho̍k, ho̍k-lêng.","藥名; 茯, 茯苓.",Hok8,213,
,Ho̍k,鰒,,"hái-hî ê miâ, ho̍k-hî, bô lân ū khak ná giô-á.","海魚 ê 名, 鰒魚, 無 鱗 有 殼 若 蟯á.",Hok8,213,
,Ho̍k,栿,,"chhù-téng ê niû, ēng sió-chhâ lâi oá tōa-chhâ ê téng-bīn.","厝頂 ê 樑, 用 小柴 來 oá 大柴 ê 頂面.",Hok8,213,
,Ho̍k,𦨕,,"kun-sûi, hâng-ho̍k, khut-ho̍k, bâi-ho̍k, ho̍k-sāi, = 服 ê kó͘-jī.","跟隨, 降服, 屈服, 埋伏, 服侍 = 服 ê 古字.",Hok8,213,
,Ho̍k,洑,,"tsúi tò-tńg lâu, tsúi tńg-se̍h ê ì-sù.","水 倒tńg 流, 水 tńg-se̍h ê 意思.",Hok8,213,
,Ho̍k,佫,,chiū-sī lâng ê jī-sìⁿ.,就是 人 ê 字姓.,Hok8,213,
,Ho̍k,㠅,,"soaⁿ ê miâ, soaⁿ tò-khàm ê ì-sù.","山 ê 名, 山 倒嵌 ê 意思.",Hok8,213,
,Ho̍k,𧳂,,"chiū-sī siù ê miâ, hô͘-lî.","就是 獸 ê 名, 狐狸.",Hok8,213,
,Ho̍k,箙,,"tóe keng-chìⁿ ê khì-kū, keng-chìⁿ ê pâng.","貯 弓箭 ê 器具, 弓箭 ê 房.",Hok8,213,
,Ho̍k,鶴,,"chiáu ê miâ; tn̂g-hè-siū, pe̍h-ho̍h.","鳥 ê 名; 長歲壽, 白鶴.",Hok8,213,
,Ho̍k,[⿰鳥服|=鵩],,"chiáu ê miâ, chhin-chhiūⁿ lāi-hio̍h, pháiⁿ tiāu-thâu ê chiáu.","鳥 ê 名, 親像 鶆鴞, pháiⁿ 兆頭 ê 鳥.",Hok8,213,
,Ho̍k,絥,,phê tsòe khàm-chhia ê khì-kū; pau-ho̍k.,皮 做 崁車 ê 器具; 包袱.,Hok8,213,
,Ho̍k,副,,"phòa-khui, liah-pêng, thiah-li̍h, phòa tsòe-pêng.","破開, 裂爿, 拆裂, 破 做爿.",Hok8,213,
,Ho̍k,伏,,"thán-tó, kūi-phak; bih, siu-khǹg, sêng-siū; hâng-ho̍k, khut-ho̍k, bâi-ho̍k.","坦倒, 跪覆; bih, 收khǹg, 承受; 降伏, 屈伏, 埋伏.",Hok8,213,
,Ho̍k,虙,,"thán-tó, kūi-phak; bih, siu-khǹg, sêng-siū; hâng-ho̍k, khut-ho̍k, bâi-ho̍k.","坦倒, 跪覆; bih, 收khǹg, 承受; 降伏, 屈伏, 埋伏.",Hok8,213,
,Ho̍k,宓,,"lâng ê jī-sìⁿ; bâi-ho̍k, siu-khǹg, bih-teh, khut-ho̍k.","人 ê 字姓; 埋伏, 收khǹg, bih-teh, 屈服.",Hok8,213,
,Ho̍k,菔,,"chhài ê miâ, nâ-po̍k; chhài-thâu; lia̍h tî-ni̍h ê hî lâi chia̍h.","菜 ê 名, 蘿蔔; 菜頭; 掠 池裡 ê 魚 來 食.",Hok8,213,
,Ho̍k,貈,,iá-siù ê miâ; thâng-miâ.,野獸 ê 名; 蟲名.,Hok8,213,
,Ho̍k,澓,,"tsúi lâu ê ì-sù, tsúi tńg-se̍h; jī-sìⁿ.","水 流 ê 意思, 水 tńg-se̍h; 字姓.",Hok8,213,
,Ho̍k,隺,,chiū-sī chiáu-á pe-koâiⁿ ê ì-sù.,就是 鳥á 飛懸 ê 意思.,Hok8,213,
,Ho̍k,復,,óng-lâi; heng-khí; tò-tńg; ìn-tap; pe̍h-pe̍h; ho̍k-bēng; ín-hûn tò-lâi; ho̍k-tò.,往來; 興起; 倒tńg; 應答; 白白; 覆命; 引魂 倒來; 復倒.,Hok8,213,
,Ho̍k,貉,,"iá-siù ê miâ; khoán-sit chhin-chhiūⁿ thò͘, thâu-lāi, phīⁿ-chiam, sek-pan, mn̂g-kāu.","野獸 ê 名; 款式 親像 兔, 頭利, 鼻尖, 毛厚.",Hok8,213,
,ho̍k,護,Hō͘,"ho̍k-sek, chiū-sī kha-thâu-u tsng-thāⁿ ê mi̍h.","服飾, 就是 腳頭窩 裝飾 ê 物.",hok8,213,
,Hong,丰,,"ām-sēng; hó-khòaⁿ, bûn-lí, hó-thiaⁿ.","ām盛; 好看, 文理, 好聽.",Hong1,213,
,Hong,仹,,"ām-sēng; hó-khòaⁿ, bûn-lí, hó-thiaⁿ.","ām盛; 好看, 文理, 好聽.",Hong1,213,
,Hong,崶,,"soaⁿ ê miâ, chi̍t-miâ kiò-tsòe Liông-bûn soaⁿ, lâu-tsúi âng-sek.","山 ê 名, 一名 叫做 龍門 山, 流水 紅色.",Hong1,213,
,Hong,豐,,"khì-kū tóe-mi̍h móa-móa; tōa-tè chiú-poe; hó nî-tang, chhiong-sēng, tsōe, kàu, tōa, hong-liân.","器具 貯物 滿滿; 大塊 酒杯; 好 年冬, 充盛, 濟; 到 大 豐年.",Hong1,213,
,Hong,鋒,,"khì-hâi ê chiam-bé, chiam-lāi, saⁿ-thâi, saⁿ-chiⁿ; thâu-chêng ê kun-peng; sian-hong.","器械 ê 尖尾, 尖利, 相刣, 相爭; 頭前 ê 軍兵; 先鋒.",Hong1,213,
,Hong,𫋳,,"pháng-se, bāng-si; ēng môa pháng-chiâⁿ si.","紡紗, 網絲; 用 麻 紡成 絲.",Hong1,213,
,Hong,𦪪,,chit-tek pīⁿ lâi khàm-tsûn; tsòe-phâng.,織竹 辮 來 khàm船; 做帆.,Hong1,214,
,Hong,峯,,"soaⁿ-chiam; lāi, chiam-chiam, chiam-bé, phòng-phòng.","山尖; 利, 尖尖, 尖尾, 凸凸.",Hong1,214,
,Hong,峰,,"soaⁿ-chiam; lāi, chiam-chiam, chiam-bé, phòng-phòng.","山尖; 利, 尖尖, 尖尾, 凸凸.",Hong1,214,
,Hong,方,,"nn̄g-chiah tsûn saⁿ-oá; pí-phēng, saⁿ-liân, sì-kak, hoat-tō͘, bûn-chiuⁿ, tōe-hng, hong-hoat.","兩隻 船 相oá; 比並, 相連, 四角, 法度, 文章, 地方, 方法.",Hong1,214,
,Hong,荒,,"gō͘-kak ké-chí bô siông-se̍k; hòe-bô, khang-khang, tōa, pha-hng, hong-hòe.","五穀 果子 無 常熟; 廢無, 空空, 大, 拋荒, 荒廢.",Hong1,214,
,Hong,慌,,"bô-bêng, hong-bông, kiaⁿ, hoat-kông, put-chí; sim-hong.","無明, 慌忙, 驚, 發狂, 不止; 心荒.",Hong1,214,
,Hong,瘋,,"pēⁿ-chèng, seng-khu hong, bâ-hong, thâu-hong, than-hong.","病症, 身軀 瘋, 麻瘋, 頭瘋, 癱瘋.",Hong1,214,
,Hong,蜂,,"pe ê thâng, bé ū to̍k oē tèng-lâng; tsōe-tsōe, chiâⁿ-tīn; bi̍t-phang, kak-phang.","飛 ê 蟲, 尾 有 毒 會 叮人; 濟濟, 成陣; 蜜蜂, 角蜂.",Hong1,214,
,Hong,蠭,,"pe ê thâng, bé ū to̍k oē tèng-lâng; tsōe-tsōe, chiâⁿ-tīn; bi̍t-phang, kak-phang.","飛 ê 蟲, 尾 有 毒 會 叮人; 濟濟, 成陣; 蜜蜂, 角蜂.",Hong1,214,
,Hong,坊,,"koe-chhī, hiuⁿ-lí, hāng-á, hōaⁿ, chhiûⁿ, tî-hông, nôa-tsa̍h, chio̍h-hng.","街市, 鄉里, 巷á, 岸, 牆, 持防, 攔閘, 石坊.",Hong1,214,
,Hong,⿰虫荒,,"ū-to̍k-khì; o͘-sek to̍k-tsôa ê miâ, o͘-hng.","有毒氣; 烏色 毒蛇 ê 名, 烏胸.",Hong1,214,
,Hong,妦,,hoān-nā hó koh khin-ê lóng-tsóng chheng-ho͘ tsòe Hong.,凡若 好 koh 輕ê lóng總 稱呼 做 妦.,Hong1,214,
,Hong,𰨧,,"pháiⁿ nî-tang, khang-khang, ké-chí bô siông-se̍k.","pháiⁿ 年冬, 空空, 果子 無 常熟.",Hong1,214,
,Hong,𥡃,,"pháiⁿ nî-tang, khang-khang, ké-chí bô siông-se̍k.","pháiⁿ 年冬, 空空, 果子 無 常熟.",Hong1,214,
,Hong,烽,,"ian-tun, chiū-sī Hông-tè gū-tio̍h tso-kip ēng chit ê lâi chí-sī tsu-hô͘.","煙墩, 就是 皇帝 遇tio̍h 遭急 用 chit-ê 來 指示 諸侯.",Hong1,214,
,Hong,魴,,"hî ê miâ; hang, hang-hî.","魚 ê 名; 魴, 魟魚.",Hong1,214,
,Hong,匚,,tóe mi̍h ê khì-kū; oē tóe-tit chi̍t-táu; sì-kak-siuⁿ.,貯 物 ê 器具; 會 貯得 一斗; 四角箱.,Hong1,214,
,Hong,芳,,"hó-bī ê chháu miâ; hó-bī-sò͘; hó tek-hēng, phang-bī, hong-bêng, liû-hong.","好味 ê 草 名; 好味素; 好 德行, 芳味, 芳名, 流芳.",Hong1,214,
,Hong,封,,"ēng thó͘-tōe hō͘ tsu-hô͘, hō͘ lâng koaⁿ-chit; tsai-pôe, pau-ba̍t; tōa, pù, kau-kài, hong-koaⁿ.","用 土地 hō͘ 諸侯, hō͘ 人 官職; 栽培; 包密; 大, 富, 交界, 封官.",Hong1,214,
,Hong,枋,,"chhâ thang tsòe chhia, tsûn sai-hū, lâu-pang, to-pìⁿ.","柴 thang 做 車, 船 師傅, 樓枋, 刀柄.",Hong1,214,
,Hong,檒,,"hong chhe tī chhiū-téng, hong chhe chhiū ê siaⁿ.","風 吹 tī 樹頂, 風 吹 樹 ê 聲.",Hong1,214,
,Hong,楓,,"chhiū ê miâ, hong-chhiū; png-chhiū.","樹 ê 名, 楓樹; 楓樹.",Hong1,214,
,Hong,偑,,chiū-sī tōe-hō miâ.,就是 地號 名.,Hong1,214,
,Hong,㤃,,"khī-khek, siong-hāi.","忌剋, 傷害.",Hong1,214,
,Hong,巟,,"tsúi khoah-khoah, kàu, í-ki̍p.","水 闊闊, 到, 以及.",Hong1,214,
,Hong,葑,,"chi̍t-khoán chhài ê miâ, kài-loa̍h.","一款 菜 ê 名, 芥辣.",Hong1,214,
,Hong,𩣇,,bé teh tsáu ê ì-sù.,馬 teh 走 ê 意思.,Hong1,214,
,Hong,𩥒,,bé teh tsáu ê ì-sù.,馬 teh 走 ê 意思.,Hong1,214,
,Hong,僼,,"sian-jîn, chiū-sī oē piàn-hòa ê sian.","仙人, 就是 會 變化 ê 仙.",Hong1,214,
,Hong,灃,,"tsúi ê miâ, tsúi chhut ê ì-sù.","水 ê 名, 水 出 ê 意思.",Hong1,214,
,Hong,揈,,"phah, kòng, phah ê siaⁿ.","phah, 摃, phah ê 聲.",Hong1,215,
,Hong,盽,,chiū-sī ba̍k-chiu piⁿ.,就是 目睭 邊.,Hong1,215,
,Hong,䀱,,chiū-sī ba̍k-chiu piⁿ.,就是 目睭 邊.,Hong1,215,
,Hong,䆪,,"kng ê sek, hé ê khoán-sit.","光 ê 色, 火 ê 款式.",Hong1,215,
,Hong,㠦,,chiū-sī soaⁿ ê miâ.,就是 山 ê 名.,Hong1,215,
,Hong,鍧,,cheng-kó͘ ê siaⁿ saⁿ chhap-tsa̍p.,鐘鼓 ê 聲 相 插雜.,Hong1,215,
,Hong,凮,,"khì teh tín-tāng, khang-khang; khin, thit-thô=風 ê kó͘-jī.","氣 teh 振動, 空空; 輕, 𨑨迌=風 ê 古字.",Hong1,215,
,Hong,⿰𧾷夆,,thiàu-bú; tò-thiô; pe tò-tńg-lâi.,跳舞; 倒頭; 飛 倒tńg來.,Hong1,215,
,Hong,僼,,"chiū-sī oē piàn-hòa ê sian, sian-jîn.","就是 會 變化 ê 仙, 仙人.",Hong1,215,
,Hong,哅,,chhut tōa-siaⁿ; oh-tit chiâⁿ kong-lô.,出 大聲; oh得 成 功勞.,Hong1,215,
,Hong,㕼,,chhut tōa-siaⁿ; oh-tit chiâⁿ kong-lô.,出 大聲; oh得 成 功勞.,Hong1,215,
,Hong,韸,,saⁿ hô-ha̍p; kó͘ ê siaⁿ.,相 和合; 鼓 ê 聲.,Hong1,215,
,Hong,韼,,saⁿ hô-ha̍p; kó͘ ê siaⁿ.,相 和合; 鼓 ê 聲.,Hong1,215,
,Hong,㸼,,"gû, iá-gû, soaⁿ-gû, bô-koai ê gû.","牛, 野牛, 山牛, 無乖 ê 牛.",Hong1,215,
,Hong,犎,,"gû, iá-gû, soaⁿ-gû, bô-koai ê gû.","牛, 野牛, 山牛, 無乖 ê 牛.",Hong1,215,
,Hong,肪,,"pûi, pûi-pûi ê ì-sù.","肥, 肥肥 ê 意思.",Hong1,215,
,Hong,衁,,"huih, iûⁿ bô-huih ê ì-sù.","血, 羊 無血 ê 意思.",Hong1,215,
,Hong,䦭,,"khui-mn̂g, phang-phang ê bī-sò͘.","開門, 芳芳 ê 味素.",Hong1,215,
,Hong,𩐠,,chiū-sī chhut tōa-siaⁿ ê ì-sù.,就是 出 大聲 ê 意思.,Hong1,215,
,Hong,鈁,,"cheng-kó͘ ê lūi, hong-cheng.","鐘鼓 ê 類, 風鐘.",Hong1,215,
,Hong,鄷,,só͘-tsāi miâ; lâng ê jī-sìⁿ.,所在 名; 人 ê 字姓.,Hong1,215,
,Hong,肓,,"sim-koaⁿ khut, (pēng ji̍p ko) bông.","心肝 窟,(病 入 膏) 肓.",Hong1,215,
,Hong,䂫,,chio̍h sio-kha̍p ê siaⁿ.,石 相磕 ê 聲.,Hong1,215,
,Hong,渢,,"tsúi ê siaⁿ, tōa-siaⁿ, phû ê khoán-sit.","水 ê 聲, 大聲, 浮 ê 款式.",Hong1,215,
,Hong,叿,,"o-ló; koe-chhī ê lâng ê siaⁿ, tōa-siaⁿ.","o-ló; 街市 ê 人 ê 聲, 大聲.",Hong1,215,
,Hong,邡,,"chiū-sī koāiⁿ ê miâ; chhōe, kè-bô͘.","就是 縣 ê 名; chhē, 計謀.",Hong1,215,
,Hong,𣆖,,ji̍t khò-hōaⁿ jia̍t ê ì-sù.,日 洘旱 熱 ê 意思.,Hong1,215,
,Hong,鎤,,chiū-sī cheng ê siaⁿ.,就是 鐘 ê 聲.,Hong1,215,
,Hong,舫,,"nn̄g-chiah tsûn pîⁿ-pîⁿ kiâⁿ; tek-pâi, chhâ-pâi.","兩隻 船 平平 行; 竹棑, 柴棑.",Hong1,215,
,Hong,𥿪,,"bāng-kìⁿ ê oē; pe̍h-chha̍t, bô-iáⁿ, hut-jiân; tám-hóng, hong-hàm.","夢見 ê 話; 白賊, 無影, 忽然; 膽況, 風hàm.",Hong1,215,
,Hong,謊,,"bāng-kìⁿ ê oē; pe̍h-chha̍t, bô-iáⁿ, hut-jiân; tám-hóng, hong-hàm.","夢見 ê 話; 白賊, 無影, 忽然; 膽況, 風hàm.",Hong1,216,
,Hong,風,,"siⁿ-chiâⁿ ê khì; khì teh tín-tāng, khang-khang, khin-khin, thit-thô; kóaⁿ-kín; sì-sòaⁿ, thó͘-sio̍k; sè-bīn, kàu-hòa; chhe-hong, hong-sio̍k, hong-siaⁿ, kám-hong.","生成 ê 氣; 氣 teh 振動, 空空, 輕輕, 𨑨迌; 趕緊; 四散, 土俗; 勢面, 教化; 吹風, 風俗, 風聲, 感風.",Hong1,216,
,Hong,凮,,"siⁿ-chiâⁿ ê khì; khì teh tín-tāng, khang-khang, khin-khin, thit-thô; kóaⁿ-kín; sìⁿ-sòaⁿ, thó͘-sio̍k; sè-bīn, kàu-hòa; chhe-hong, hong-sio̍k, hong-siaⁿ, kám-hong.","生成 ê 氣; 氣 teh 振動, 空空, 輕輕, 𨑨迌; 趕緊; 四散, 土俗; 勢面, 教化; 吹風, 風俗, 風聲, 感風.",Hong1,216,
,Hong,𩒼,,thâu-khak; hoân-ló iu-būn ê khoán-sit.,頭殼; 煩惱 憂悶 ê 款式.,Hong1,216,
,Hong,烘,,"hé-iām khí, hang-hé; hang-lô͘.","火炎 起, 烘火; 烘爐.",Hong1,216,
,Hong,詤,,si-sòaⁿ jû chhiáng-chhiáng bô khòaⁿ-tio̍h sòaⁿ-thâu.,絲線 jû chhiáng-chhiáng 無 看著 線頭.,Hong1,216,
,Hong,梵,,chhiū-téng hō͘ hong tín-tāng.,樹頂 hō͘ 風 振動.,Hong1,216,
,Hong,䜶,,"âng-tāu, âng-sek, tsōe-tsōe keh.","紅豆, 紅色, 濟濟 格.",Hong1,216,
,Hong,雱,,"seh tsōe-tsōe ê khoán-sit, seh ê khoán.","雪 濟濟 ê 款式, 雪 ê 款.",Hong1,216,
,Hong,𩠾,,"phīⁿ ê chèng-thâu, phīⁿ ê thàn-khì, hiang ê ì-sù.","鼻 ê 症頭, 鼻 ê 嘆氣, 香 ê 意思.",Hong1,216,
,hong,—,,"góa hong chi̍t-ē hō͘-lí, chhùi-phóe siang-pêng hong.","我 封 一下 hō͘ 你, 嘴phóe 雙爿 封.",hong1,216,
,hong,—,,"hong-hàm, chiū-sī kóng-oē bô chiàu-si̍t hàm kōa-kōa.","風hàm, 就是 講話 無 照實 hàm kōa-kōa.",hong1,216,
,hong,—,,"hong-hiau, chiū-sī kóng-oē bô chiàu-iok hoán-hoán hok-hok.","風僥, 就是 講話 無 照約 反反 覆覆.",hong1,216,
,Hóng,昉,,"ji̍t tú-á kng; chhut-hiān, bêng-pe̍k, tú-tú-á, tú-tio̍h.","日 tú-á 光; 出現, 明白, tú-tú-á, tú-tio̍h.",Hong2,216,
,Hóng,恍,,"hông-bông, tiû-tû; iu-būn, kông.","慌忙, 躊躇; 憂悶, 狂.",Hong2,216,
,Hóng,倣,,"chiàu-iūⁿ, bô͘-iūⁿ, o̍h; chhìn-chhái, bô-bêng.","照樣, 模樣, 學; chhìn-chhái, 無明.",Hong2,216,
,Hóng,仿,,"o̍h bô siông-sè; khoán-sit chhin-chhiūⁿ; chhìn-chhái, bô-bêng.","學 無 詳細; 款式 親像; chhìn-chhái, 無明.",Hong2,216,
,Hóng,訪,,"sì-kòe chhâ-mn̄g; phah-sǹg, kè-bô͘; gī-lūn, pài-kìⁿ; hóng-chhat, tsa-hóng.","四界 查問; phah 算, 計謀; 議論, 拜見; 訪察, 查訪.",Hong2,216,
,Hóng,眆,,"hóng-hut, khòaⁿ bô chin; sió-khóa khòaⁿ-kìⁿ.","彷彿, 看 無 真; 小khóa 看見.",Hong2,216,
,Hóng,髣,,"thâu-mn̂g sàm; chhìn-chhái; hū-jîn-lâng ê chhiú-sek; chhin-chhiūⁿ, bô-bêng.","頭毛 鬖; chhìn-chhái; 婦人人 ê 首飾; 親像, 無明.",Hong2,216,
,Hóng,紡,,"bāng-si; tîⁿ, pa̍k, in, pháng-cheh.","網絲; 纏, 縛, 絪, 紡績.",Hong2,216,
,Hóng,諷,,"chhiùⁿ-liām; ki-chhì, kà-sī; phì-jū.","唱唸; 譏刺, 教示; 譬喻.",Hong2,216,
,Hóng,幌,,"pò͘-lî; khòng-kò; bōe-mi̍h ê chhâ-pán, tsng-sek ê oáⁿ-bō.","布簾; 控告; 賣物 ê 柴板, 妝飾 ê 碗帽.",Hong2,216,
,Hóng,𣄙,,"pò͘-lî; khòng-kò; bōe-mi̍h ê chhâ-pán, tsng-sek ê oáⁿ-bō; iā-sī kheh-tiàm pâi ê ì-sù.","布簾; 控告; 賣物 ê 柴板, 妝飾 ê 碗帽; 也是 客店 牌 ê 意思.",Hong2,216,
,Hóng,𣉪,,"khòng-hān, jia̍t, chhin-chhiūⁿ joa̍h-thiⁿ ê sî.","炕旱, 熱, 親像 熱天 ê 時.",Hong2,216,
,Hóng,滉,,tsúi chhim khoah ê khoán-sit.,水 深 闊 ê 款式.,Hong2,216,
,Hóng,怳,,"siáu ê khoán-sit, sit-chì ê khoán; loān-sim; hóng-hut.","痟 ê 款式, 失志 ê 款; 亂心; 恍惚.",Hong2,216,
,Hóng,愰,,sim-koaⁿ kng-bêng; sim-koaⁿ bô tiāⁿ-tio̍h.,心肝 光明; 心肝 無 定tio̍h.,Hong2,216,
,Hóng,𦕷,,hī-khang tiong khòng-khòng háu ê ì-sù.,耳孔 中 khòng-khòng 哮 ê 意思.,Hong2,216,
,Hóng,榥,,"tha̍k-chheh ê chhn̂g, kng-bêng ê thang.","讀冊 ê 床, 光明 ê 窗.",Hong2,216,
,Hóng,𤰟,,chiū-sī kiâm-tōe ê miâ.,就是 鹹地 ê 名.,Hong2,217,
,Hóng,櫎,,"tōa-chhù ê mn̂g-thang ê tsóng-miâ; hoâiⁿ-chhâ, lân-kan.","大厝 ê 門窗 ê 總名; 橫柴, 欄杆.",Hong2,217,
,Hóng,瓬,,"kui-sn̂g, liâm-thô͘, lâng-miâ; chhio̍k-thô͘, chhiau liâm-thô͘ ê kang.","規床, 黏土, 人名; 浞土, chhiau 黏土 ê 工.",Hong2,217,
,Hóng,旊,,"chhio̍k-thô͘ tsòe-hûi ê kang, chhiau liâm-thô͘ ê kang.","摶土 做肥 ê 工, chhiau 黏土 ê 工.",Hong2,217,
,Hóng,風,,"ki-chhì, chhiùⁿ-liām, phì-jū, kà-sī.","譏刺, 唱唸, 譬喻, 教示.",Hong2,217,
,Hóng,凮,,"ki-chhì, chhiùⁿ-liām, phì-jū, kà-sī.","譏刺, 唱唸, 譬喻, 教示.",Hong2,217,
,Hóng,詤,,"bāng-kìⁿ ê oē, pe̍h-chha̍t; hut-jiân, tám-hóng; bô-iáⁿ, hong-hàm.","夢見 ê 話, 白賊; 忽然, 膽況; 無影, 風hàm.",Hong2,217,
,Hóng,謊,,"bāng-kìⁿ ê oē, pe̍h-chha̍t; hut-jiân, tám-hóng; bô-iáⁿ, hong-hàm.","夢見 ê 話, 白賊; 忽然, 膽況; 無影, 風hàm.",Hong2,217,
,Hóng,舫,,"sái-tsûn ê tāi-kong, tsûn; sái-tsûn ê sai-hū.","駛船 ê 舵公, 船; 駛船 ê 師傅.",Hong2,217,
,Hóng,邡,,"koāiⁿ ê miâ, chhōe, kè-bô͘.","縣 ê 名, chhē, 計謀.",Hong2,217,
,Hóng,𣆖,,"chiū-sī ji̍t [khò-hōaⁿ|khó-hōaⁿ], jia̍t ê ì-sù.","就是 日 洘旱, 熱 ê 意思.",Hong2,217,
,Hóng,鎤,,chiū-sī cheng ê siaⁿ.,就是 鐘 ê 聲.,Hong2,217,
,Hóng,况,,"siúⁿ-sù, tú-tio̍h, kàu, lâu-pái; chi̍t-tè; kéng-hóng, hóng-mn̄g.","賞賜, tú-tio̍h, 到, lâu-pái; 一塊; 景況, 訪問.",Hong2,217,
,Hóng,況,,"siúⁿ-sù, tú-tio̍h, kàu, lâu-pái; chi̍t-tè; kéng-hóng, hóng-mn̄g.","賞賜, tú-tio̍h, 到, lâu-pái; 一塊; 景況, 訪問.",Hong2,217,
,Hóng,貺,,"siúⁿ-sù, hō͘ lâng; ia̍h ū kap chit-jī 况 sio-siāng.","賞賜, hō͘ 人; 亦 有 kap chit字 况 相像.",Hong2,217,
,Hóng,𧵦,,"siúⁿ-sù, hō͘ lâng; ia̍h ū kap chit-jī 况 sio-siāng.","賞賜, hō͘ 人; 亦 有 kap chit字 况 相像.",Hong2,217,
,Hóng,放,,"khòaⁿ-iūⁿ, o̍h, kàu, oá-khò, pí-phēng.","看樣, 學, 教, oá靠, 比並.",Hong2,217,
,Hóng,嗊,,"koa-khek, chhiùⁿ koa-khek.","歌曲, 唱 歌曲.",Hong2,217,
,Hóng,䌙,,chiū-sī soh pa̍k kui-sok ê ì-sù.,就是 索 縛 規束 ê 意思.,Hong2,217,
,Hóng,晃,,"kng-chhiûⁿ, nà-kng; khòaⁿ-hóng.","光颺, 爁光; 看仿.",Hong2,217,
,Hóng,潢,,"tsúi-miâ, chek-tsū tsúi ê tî; tsúi chhim khoah ê khoán-sit.","水名, 積聚 水 ê 池; 水 深 闊 ê 款式.",Hong2,217,
,Hóng,俸,,"koaⁿ-hú ê sok-kim, hōng-lo̍k, hoa̍t-hōng.","官府 ê 束金, 俸祿, 罰俸.",Hong2,217,
,Hóng,汞,,súi-gûn; chiū-sī ēng teh tsòe kiàⁿ ê lō͘-ēng.,水銀; 就是 用 teh 做 鏡 ê 路用.,Hong2,217,
,Hóng,哄,,"hoa̍h ê siaⁿ, háng-lâng, phiàn-lâng.","罰 ê 聲, 哄人, 騙人.",Hong2,217,
,Hóng,彷,,"khoán-sit chhin-chhiūⁿ; tiû-tû, bô-bêng; hóng-hut.","款式 親像; 躊躇, 無明; 彷彿.",Hong2,217,
,Hóng,唪,,"tōa-chhiò, tōa-siaⁿ; liām-keng, koâiⁿ ê chhùi; pòng-pòng-háu.","大笑, 大聲; 唸經, 懸 ê 嘴; 謗謗吼.",Hong2,217,
,Hóng,晄,,chiū-sī kng-bêng ê ì-sù.,就是 光明 ê 意思.,Hong2,217,
,Hóng,熀,,hé-kng chhiong-sēng ê khoán-sit; khoah-tōa kng-bêng.,火光 充盛 ê 款式; 闊大 光明.,Hong2,217,
,Hóng,澒,,"âng ê soa hòa tsòe súi-gûn, [khî|khì] bōe hun-piat ê khoán.","紅 ê 砂 化 做 水銀, 氣 bōe 分別 ê 款.",Hong2,217,
,Hóng,𢪋,,"siang-chhiú the̍h, siang-chhiú hiàn-hō͘, chhiú phâng-mi̍h, chi̍t-phóng.","雙手 the̍h, 雙手 獻hō͘, 手 捀物, 一捧.",Hong2,217,
,Hóng,捧,,"siang-chhiú the̍h, siang-chhiú hiàn-hō͘, chhiú phâng-mi̍h, chi̍t-phóng.","雙手 the̍h, 雙手 獻hō͘, 手 捧物, 一捧.",Hong2,218,
,hóng,—,,"tám-hóng chiū-sī the̍h-mi̍h tìⁿ m̄-tsai, tsú-lâng ún-tsún ê ì-sù.","膽況 就是 the̍h物 盯 m̄知, 主人 允准 ê 意思.",hong2,218,
,Hòng,眖,,"khòaⁿ ê ì-sù, hóng-hut; lâng-miâ.","看 ê 意思, 彷彿; 人名.",Hong3,218,
,Hòng,况,,"khah chhim ê ì-sù, kiû ê khoán-sit; pí-phēng, taⁿ, koh, iáu-kú; peng-léng ê tsúi.","khah 深 ê 意思, 求 ê 款式; 比並, 今, koh, iáu-kú; 冰冷 ê 水.",Hong3,218,
,Hòng,況,,"khah chhim ê ì-sù, kiû ê khoán-sit; pí-phēng, taⁿ, koh, iáu-kú; peng-léng ê tsúi; chhìn, ín-chhōa, pí-phēng.","khah 深 ê 意思, 求 ê 款式; 比並, 今, koh, iáu-kú; 冰冷 ê 水; 凊, 引chhōa, 比並.",Hong3,218,
,Hòng,放,,"hō͘ i khì, hiat-ka̍k, kek-tio̍h, lām-sám, pàng-khì, pàng-sak; hòng-chhiòng.","hō͘ 伊 去, hiat-ka̍k, 激tio̍h, 濫糝, 放棄, 放拺; 放縱.",Hong3,218,
,Hòng,貺,,"siúⁿ-sù, hō͘-lâng; iā kap chit-jī 况 sio-siāng.","賞賜, hō͘人; 也 kap chit字 况 相像.",Hong3,218,
,Hòng,𧵦,,"siúⁿ-sù, hō͘-lâng; iā kap chit-jī 况 sio-siāng.","賞賜, hō͘人; 也 kap chit字 况 相像.",Hong3,218,
,Hòng,嗊,,"koa-khek, chhiùⁿ koa-khek.","歌曲, 唱 歌曲.",Hong3,218,
,Hòng,䌙,,chiū-sī soh pa̍k kui-sok ê ì-sù.,就是 索 縛 規束 ê 意思.,Hong3,218,
,Hòng,况,,"khah chhim ê ì-sù, kiû ê khoán-sit; taⁿ, koh, pí-phēng, iáu-kú.","khah 深 ê 意思, 求 ê 款式; 今, koh, 比並, iáu-kú.",Hong3,218,
